#{"t_start": 1767464148.2993596, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
240.0,3451,2.535585
120.0,2167,3.046582
90.0,1941,3.470585
120.0,1625,3.828583
125.0,1593,4.18555
75.0,1317,4.47355
175.0,2585,5.03255
105.0,1605,5.38055
185.0,2101,5.835553
110.0,2101,6.293677
210.0,1755,6.684627
60.0,2021,7.150146
120.0,2131,7.628146
105.0,2021,8.072151
50.0,1653,8.434148
105.0,1651,8.796353
50.0,1481,9.123355
10.0,1481,9.453353
5.0,1423,9.765353
120.0,2333,10.292355
110.0,1833,10.691775
145.0,2113,11.170406
30.0,1027,11.397923
80.0,1625,11.749923
155.0,2097,12.211923
80.0,1145,12.461922
105.0,2001,12.898548
55.0,1197,13.161548
105.0,1975,13.590548
90.0,1203,13.854548
180.0,2349,14.365548
105.0,2103,14.824548
180.0,1555,15.1724
65.0,1157,15.425397
150.0,1825,15.819397
60.0,1923,16.236397
135.0,2247,16.726397
435.0,4121,17.61011
110.0,2125,18.076113
105.0,1647,18.436112
60.0,1631,18.79111
135.0,1869,19.20711
65.0,1597,19.557294
165.0,2417,20.085293
65.0,1393,20.391293
150.0,2157,20.861293
330.0,3419,21.596708
440.0,3259,22.303708
110.0,1415,22.611708
140.0,1605,22.956708
210.0,2193,23.430708
210.0,2367,23.944837
410.0,3772,28.873363
70.0,2073,29.380362
110.0,1949,29.809363
260.0,2857,30.436574
50.0,1581,30.826134
445.0,4169,31.782321
80.0,1563,32.172853
135.0,1901,32.618618
185.0,2329,33.166516
70.0,2295,33.741933
155.0,1963,34.197835
500.0,3313,35.024352
140.0,2355,35.539424
105.0,2171,36.020259
125.0,2951,36.665259
240.0,2859,37.288274
215.0,2667,37.872374
80.0,1299,38.158374
20.0,1141,38.409463
380.0,3737,39.208009
90.0,1919,39.626607
75.0,1183,39.888607
175.0,2445,40.430604
200.0,2181,40.925033
230.0,2783,41.557434
15.0,1397,41.865054
210.0,2407,42.389786
165.0,3085,43.059621
50.0,1659,43.424897
125.0,2267,43.917249
445.0,2657,44.49446
245.0,2847,45.109891
180.0,2439,45.640131
115.0,2065,46.094519
95.0,1533,46.434184
135.0,2257,46.939301
125.0,1991,47.374242
305.0,3123,48.048324
90.0,1951,48.477319
85.0,1081,48.715778
110.0,1907,49.132751
135.0,1537,49.469428
125.0,2263,49.963375
75.0,1271,50.243912
80.0,1607,50.596738
80.0,1755,50.981643
110.0,1891,56.213664
60.0,1533,56.550172
100.0,1145,56.800657
125.0,1935,57.239805
80.0,1759,57.628689
135.0,2069,58.07974
120.0,1565,58.429081
185.0,2125,58.893836
110.0,1929,59.317089
120.0,1931,59.742274
110.0,1717,60.11699
55.0,1511,60.446875
600.0,4305,61.372462
440.0,3683,62.175046
20.0,1037,62.3953
210.0,2463,62.947174
425.0,2435,63.476348
165.0,2003,63.906943
135.0,2229,64.38434
240.0,4019,65.236746
115.0,2001,65.675528
155.0,2863,66.291036
110.0,1529,66.622971
215.0,2551,67.191982
70.0,1957,67.608114
315.0,2951,68.25053
340.0,2803,68.848273
70.0,1981,69.288328
85.0,1595,69.634104
210.0,2447,70.165354
20.0,1451,70.483571
430.0,2797,71.075247
140.0,2191,71.563739
210.0,2891,72.190993
135.0,1969,72.612049
425.0,4433,73.559517
210.0,2345,74.065113
155.0,2025,74.510393
155.0,2247,74.994596
125.0,1831,75.389474
100.0,2107,75.857588
135.0,1839,76.250196
160.0,1857,76.64975
45.0,1515,76.994137
210.0,2487,77.53082
105.0,2147,77.999559
85.0,1745,84.008835
180.0,1651,84.362291
45.0,1343,84.663323
315.0,2847,85.281234
345.0,2055,85.718031
60.0,1749,86.108638
250.0,2801,86.719137
180.0,1643,87.07177
105.0,1807,87.466168
150.0,2655,88.036209
110.0,2293,88.544939
350.0,2355,89.065803
120.0,1895,89.472729
95.0,1957,89.888525
120.0,2037,90.327665
50.0,1533,90.671426
120.0,1857,91.077562
70.0,1307,91.354219
150.0,2277,91.871299
185.0,1989,92.294424
105.0,1547,92.633164
380.0,2197,93.10047
35.0,1619,93.463545
35.0,1711,93.824188
120.0,1687,94.199767
135.0,2125,94.652586
65.0,1469,94.972134
75.0,1647,95.331497
185.0,2139,95.806448
215.0,2775,96.402184
165.0,2265,96.892232
45.0,1209,97.157869
60.0,1483,97.504043
110.0,2017,97.942616
80.0,1457,98.266912
185.0,2649,98.839449
140.0,1787,99.230674
230.0,2885,99.849021
60.0,1203,100.119417
140.0,1959,100.547597
515.0,3299,101.249314
210.0,3365,102.045287
105.0,1751,102.432588
120.0,1775,102.83885
105.0,1523,103.171882
135.0,1345,103.466857
50.0,1157,103.727079
115.0,2105,104.19124
210.0,2789,104.801579
385.0,2473,105.353797
190.0,1815,105.759466
185.0,2231,106.234892
45.0,1757,113.710476
165.0,2749,116.592567
35.0,1965,118.666809
245.0,2743,121.567105
155.0,1925,123.571356
335.0,2687,126.432531
370.0,4316,130.950891
155.0,2077,133.131031
95.0,2753,136.052747
50.0,1925,138.114312
595.0,4865,143.257288
245.0,2885,146.321715
55.0,1127,147.485713
280.0,3894,151.596356
310.0,3577,155.397036
230.0,2829,158.353151
350.0,3033,161.562649
40.0,1021,162.629553
90.0,1243,163.927598
580.0,3783,167.932979
260.0,3103,171.195471
30.0,1743,173.020594
180.0,3199,176.401433
50.0,1995,178.507066
85.0,2151,180.783544
